,lccn,state,state_link,title,browse,browse_link,issue_num,first_issue_link,first_issue,last_issue_link,last_issue,lccn_link,Exist
3838,sn87093044,Washington,/newspapers/washington/,"The Kennewick courier-reporter. [volume]Kennewick, Wash., 1939-1949",,/lccn/sn87093044/issues/,565.0,/lccn/sn87093044/1939-01-05/ed-1/,1939-01-05,/lccn/sn87093044/1949-10-28/ed-1/,,,right_only
3839,2019252177,Washington,/newspapers/washington/,"Monthly news of the Department of Washington. [volume]Seattle, Washington, 1943-1946",,/lccn/2019252177/issues/,38.0,/lccn/2019252177/1943-03-01/ed-1/,1943-03-01,/lccn/2019252177/1946-06-01/ed-1/,,,right_only
3840,sn88087034,Washington,/newspapers/washington/,"The Nespelem tribune. [volume]Nespelem, Wash., 1934-1936",,/lccn/sn88087034/issues/,86.0,/lccn/sn88087034/1934-08-08/ed-1/,1934-08-08,/lccn/sn88087034/1936-03-31/ed-1/,1936-03-31,/lccn/sn88087034/,right_only
3841,sn87093376,Washington,/newspapers/washington/,"The Seattle enterprise. [volume]Seattle, Wash., 1920-192?",,/lccn/sn87093376/issues/,1.0,/lccn/sn87093376/1921-05-14/ed-1/,1921-05-14,/lccn/sn87093376/1921-05-14/ed-1/,1921-05-14,/lccn/sn87093376/,right_only
3842,sn88087129,Washington,/newspapers/washington/,"The Spokane woman. [volume]Spokane, Wash., 1921-1935",,/lccn/sn88087129/issues/,86.0,/lccn/sn88087129/1926-09-23/ed-1/,1926-09-23,/lccn/sn88087129/1931-03-05/ed-1/,,,right_only
3843,sn87093109,Washington,/newspapers/washington/,"The Vancouver independent.Vancouver, W.T. [Wash.], 1875-1910",,/lccn/sn87093109/issues/,383.0,/lccn/sn87093109/1875-09-04/ed-1/,1875-09-04,/lccn/sn87093109/1884-03-27/ed-1/,1884-03-27,/lccn/sn87093109/,right_only
3844,sn87093323,Washington,/newspapers/washington/,"Vashon Island news-record. [volume]Vashon, Wash., 1919-1954",,/lccn/sn87093323/issues/,710.0,/lccn/sn87093323/1919-12-18/ed-1/,1919-12-18,/lccn/sn87093323/1933-08-31/ed-1/,1933-08-31,/lccn/sn87093323/,right_only
3845,sn92038389,Washington,/newspapers/washington/,"Vashon Island news. [volume]Vashon, Wash., 1907-19??",,/lccn/sn92038389/issues/,16.0,/lccn/sn92038389/1907-05-24/ed-1/,1907-05-24,/lccn/sn92038389/1915-06-17/ed-1/,1915-06-17,/lccn/sn92038389/,right_only
3846,sn92038390,Washington,/newspapers/washington/,"The Vashon Island record. [volume]Vashon, Wash., 1916-1919",,/lccn/sn92038390/issues/,161.0,/lccn/sn92038390/1916-10-26/ed-1/,1916-10-26,/lccn/sn92038390/1919-12-11/ed-1/,1919-12-11,/lccn/sn92038390/,right_only
3847,2019252178,Washington,/newspapers/washington/,"Veterans news. [volume]Seattle, Washington, 1946-1947",,/lccn/2019252178/issues/,18.0,/lccn/2019252178/1946-07-01/ed-1/,1946-07-01,/lccn/2019252178/1947-12-01/ed-1/,,,right_only
3848,2019252176,Washington,/newspapers/washington/,"The veterans' review. [volume]Seattle, Washington, 193?-19??",,/lccn/2019252176/issues/,18.0,/lccn/2019252176/1936-01-01/ed-1/,1936-01-01,/lccn/2019252176/1937-03-01/ed-1/,,,right_only
3849,sn88085651,Washington,/newspapers/washington/,"Victory worker. [volume]Seattle, Wash., 1942-1943",,/lccn/sn88085651/issues/,12.0,/lccn/sn88085651/1942-06-01/ed-1/,1942-06-01,/lccn/sn88085651/1943-10-02/ed-1/,1943-10-02,/lccn/sn88085651/,right_only
3850,sn88085733,Washington,/newspapers/washington/,"Voice of action. [volume]Seattle, Wash., 1933-1936",,/lccn/sn88085733/issues/,49.0,/lccn/sn88085733/1934-04-24/ed-1/,1934-04-24,/lccn/sn88085733/1935-06-28/ed-1/,1935-06-28,/lccn/sn88085733/,right_only
3851,sn87093008,Washington,/newspapers/washington/,"White Bluffs spokesman. [volume]White Bluffs, Wash., 1907-1938",,/lccn/sn87093008/issues/,881.0,/lccn/sn87093008/1915-12-10/ed-1/,1915-12-10,/lccn/sn87093008/1938-07-22/ed-1/,1938-07-22,/lccn/sn87093008/,right_only
3852,sn86092333,West Virginia,/newspapers/west_virginia/,"Belington progressive. [volume]Belington, W. Va., 1912-1927",,/lccn/sn86092333/issues/,777.0,/lccn/sn86092333/1912-05-16/ed-1/,1912-05-16,/lccn/sn86092333/1927-05-12/ed-1/,1927-05-12,/lccn/sn86092333/,right_only
3853,sn86092151,West Virginia,/newspapers/west_virginia/,"Daily new dominion. [volume]Morgantown, W. Va., 1897-1906",,/lccn/sn86092151/issues/,1928.0,/lccn/sn86092151/1897-09-07/ed-1/,1897-09-07,/lccn/sn86092151/1903-12-31/ed-1/,,,right_only
3854,sn86092515,West Virginia,/newspapers/west_virginia/,"Deutsche Zeitung. [volume]Wheeling, W. Va., 1901-1916",,/lccn/sn86092515/issues/,3.0,/lccn/sn86092515/1906-07-03/ed-1/,1906-07-03,/lccn/sn86092515/1910-07-02/ed-1/,1910-07-02,/lccn/sn86092515/,right_only
3855,sn86092473,West Virginia,/newspapers/west_virginia/,"The freeman.Parkersburg, W. Va., 1886-18??",,/lccn/sn86092473/issues/,127.0,/lccn/sn86092473/1886-05-05/ed-1/,1886-05-05,/lccn/sn86092473/1888-12-19/ed-1/,1888-12-19,/lccn/sn86092473/,right_only
3856,sn85059803,West Virginia,/newspapers/west_virginia/,"The ladies' garland. [volume]Harpers-Ferry, Va. [W. Va.], 1824-1828",,/lccn/sn85059803/issues/,311.0,/lccn/sn85059803/1824-02-14/ed-1/,1824-02-14,/lccn/sn85059803/1828-06-07/ed-1/,1828-06-07,/lccn/sn85059803/,right_only
3857,sn86092182,West Virginia,/newspapers/west_virginia/,"The new dominion. [volume]Morgantown, W. Va., 1876-1904",,/lccn/sn86092182/issues/,1289.0,/lccn/sn86092182/1877-04-07/ed-1/,1877-04-07,/lccn/sn86092182/1904-04-06/ed-1/,1904-04-06,/lccn/sn86092182/,right_only
3858,sn84026851,West Virginia,/newspapers/west_virginia/,"The New era. [volume]Martinsburg, W. Va., 1865-1871",,/lccn/sn84026851/issues/,104.0,/lccn/sn84026851/1865-09-14/ed-1/,1865-09-14,/lccn/sn84026851/1867-09-05/ed-1/,1867-09-05,/lccn/sn84026851/,right_only
3859,sn84038410,West Virginia,/newspapers/west_virginia/,"The Potowmac guardian, and Berkeley advertiser. [volume]Shepherdstown, Va. [W. Va.], 1790-1798",,/lccn/sn84038410/issues/,70.0,/lccn/sn84038410/1791-06-27/ed-1/,1791-06-27,/lccn/sn84038410/1797-12-28/ed-1/,1797-12-28,/lccn/sn84038410/,right_only
3860,sn85059536,West Virginia,/newspapers/west_virginia/,"Weekly gazette. [volume]Martinsburg, Va., 1863-186?",,/lccn/sn85059536/issues/,1.0,/lccn/sn85059536/1863-03-24/ed-1/,1863-03-24,/lccn/sn85059536/1863-03-24/ed-1/,1863-03-24,/lccn/sn85059536/,right_only
3861,sn86092472,West Virginia,/newspapers/west_virginia/,"West Virginia freeman.Parkersburg, W. Va., 1881-1886",,/lccn/sn86092472/issues/,267.0,/lccn/sn86092472/1881-02-23/ed-1/,1881-02-23,/lccn/sn86092472/1886-04-28/ed-1/,1886-04-28,/lccn/sn86092472/,right_only
3862,sn85059540,West Virginia,/newspapers/west_virginia/,"The World. [volume]Martinsburg, W. Va., 1912-1921",,/lccn/sn85059540/issues/,150.0,/lccn/sn85059540/1918-07-01/ed-1/,1918-07-01,/lccn/sn85059540/1918-12-31/ed-1/,,,right_only
3863,sn85041553,Wisconsin,/newspapers/wisconsin/,"The River Falls times. [volume]River Falls, Pierce County, Wis., 1894-1933",,/lccn/sn85041553/issues/,164.0,/lccn/sn85041553/1896-03-09/ed-1/,1896-03-09,/lccn/sn85041553/1925-11-01/ed-1/,1925-11-01,/lccn/sn85041553/,right_only
3864,sn86072160,Wyoming,/newspapers/wyoming/,"Casper daily tribune. [volume]Casper, Wyo., 1916-1931",,/lccn/sn86072160/issues/,2533.0,/lccn/sn86072160/1917-01-02/ed-1/,1917-01-02,/lccn/sn86072160/1926-01-31/ed-1/,1926-01-31,/lccn/sn86072160/,right_only
3865,sn86072173,Wyoming,/newspapers/wyoming/,"The Cheyenne daily leader. [volume]Cheyenne, Wyo., 1887-1895",,/lccn/sn86072173/issues/,2449.0,/lccn/sn86072173/1887-06-14/ed-1/,1887-06-14,/lccn/sn86072173/1895-06-23/ed-1/,1895-06-23,/lccn/sn86072173/,right_only
3866,sn84022149,Wyoming,/newspapers/wyoming/,"The Cheyenne daily leader. [volume]Cheyenne, Wyo., 1870-1884",,/lccn/sn84022149/issues/,4339.0,/lccn/sn84022149/1870-01-13/ed-1/,1870-01-13,/lccn/sn84022149/1884-01-18/ed-1/,1884-01-18,/lccn/sn84022149/,right_only
3867,sn84022150,Wyoming,/newspapers/wyoming/,"The Cheyenne leader. [volume]Cheyenne, D.T. [i.e. Wyo.], 1867-1870",,/lccn/sn84022150/issues/,671.0,/lccn/sn84022150/1867-09-19/ed-1/,1867-09-19,/lccn/sn84022150/1870-01-10/ed-1/,1870-01-10,/lccn/sn84022150/,right_only
3868,sn92066925,Wyoming,/newspapers/wyoming/,"The Cody enterprise and the Park County enterprise.Cody, Wyo., 1921-1923",,/lccn/sn92066925/issues/,53.0,/lccn/sn92066925/1922-01-04/ed-1/,1922-01-04,/lccn/sn92066925/1923-01-03/ed-1/,1923-01-03,/lccn/sn92066925/,right_only
3869,sn92066930,Wyoming,/newspapers/wyoming/,"The Cody enterprise and the Park County herald.Cody, Wyo., 1926-1927",,/lccn/sn92066930/issues/,30.0,/lccn/sn92066930/1926-06-16/ed-1/,1926-06-16,/lccn/sn92066930/1927-07-04/ed-1/,1927-07-04,/lccn/sn92066930/,right_only
3870,sn92066920,Wyoming,/newspapers/wyoming/,"The Cody enterprise.Cody, Big Horn County, Wyo., 1???-1910",,/lccn/sn92066920/issues/,35.0,/lccn/sn92066920/1902-12-25/ed-1/,1902-12-25,/lccn/sn92066920/1906-04-19/ed-1/,1906-04-19,/lccn/sn92066920/,right_only
3871,sn92066929,Wyoming,/newspapers/wyoming/,"The Cody enterprise.Cody, Wyo., 1923-1926",,/lccn/sn92066929/issues/,184.0,/lccn/sn92066929/1923-01-10/ed-1/,1923-01-10,/lccn/sn92066929/1927-12-28/ed-1/,1927-12-28,/lccn/sn92066929/,right_only
3872,sn88067211,Wyoming,/newspapers/wyoming/,"The Democratic leader.Cheyenne, Wyo., 1884-1887",,/lccn/sn88067211/issues/,1057.0,/lccn/sn88067211/1884-01-19/ed-1/,1884-01-19,/lccn/sn88067211/1887-06-12/ed-1/,,,right_only
3873,sn92067139,Wyoming,/newspapers/wyoming/,"The enterprise.Sheridan, Johnson County, Wyo., 1887-1907",,/lccn/sn92067139/issues/,121.0,/lccn/sn92067139/1887-12-24/ed-1/,1887-12-24,/lccn/sn92067139/1905-09-30/ed-1/,,,right_only
3874,sn92066927,Wyoming,/newspapers/wyoming/,"Northern Wyoming herald and Garland irrigation era.Cody, Wyo., 19??-1916",,/lccn/sn92066927/issues/,266.0,/lccn/sn92066927/1911-02-10/ed-1/,1911-02-10,/lccn/sn92066927/1916-05-05/ed-1/,1916-05-05,/lccn/sn92066927/,right_only
3875,sn92066926,Wyoming,/newspapers/wyoming/,"The Northern Wyoming herald.Cody, Wyo., 1916-1924",,/lccn/sn92066926/issues/,406.0,/lccn/sn92066926/1916-05-12/ed-1/,1916-05-12,/lccn/sn92066926/1924-03-26/ed-1/,1924-03-26,/lccn/sn92066926/,right_only
3876,sn92066928,Wyoming,/newspapers/wyoming/,"Park County herald.Cody, Wyo., 1924-1926",,/lccn/sn92066928/issues/,117.0,/lccn/sn92066928/1924-04-02/ed-1/,1924-04-02,/lccn/sn92066928/1926-06-09/ed-1/,1926-06-09,/lccn/sn92066928/,right_only
3877,sn90051455,Wyoming,/newspapers/wyoming/,"The Rawlins Republican.Rawlins, Carbon County, Wyo., 1889-1897",,/lccn/sn90051455/issues/,340.0,/lccn/sn90051455/1890-01-31/ed-1/,1890-01-31,/lccn/sn90051455/1897-12-31/ed-1/,1897-12-31,/lccn/sn90051455/,right_only
3878,sn92067236,Wyoming,/newspapers/wyoming/,"Rawlins Republican.Rawlins, Wyo., 1901-1935",,/lccn/sn92067236/issues/,1617.0,/lccn/sn92067236/1901-08-07/ed-1/,1901-08-07,/lccn/sn92067236/1930-12-04/ed-1/,1930-12-04,/lccn/sn92067236/,right_only
3879,sn92067235,Wyoming,/newspapers/wyoming/,"Rawlins semi-weekly Republican.Rawlins, Carbon County, Wyo., 1898-1901",,/lccn/sn92067235/issues/,344.0,/lccn/sn92067235/1898-01-05/ed-1/,1898-01-05,/lccn/sn92067235/1901-08-03/ed-1/,1901-08-03,/lccn/sn92067235/,right_only
3880,sn83002748,Wyoming,/newspapers/wyoming/,"The Saratoga sun.Saratoga, Carbon County, Wyo., 1891-current",,/lccn/sn83002748/issues/,1748.0,/lccn/sn83002748/1891-07-14/ed-1/,1891-07-14,/lccn/sn83002748/1926-02-25/ed-1/,1926-02-25,/lccn/sn83002748/,right_only
3881,sn83025232,Wyoming,/newspapers/wyoming/,"Wyoming state tribune. [volume]Cheyenne, Wyo., 1918-1921",,/lccn/sn83025232/issues/,2.0,/lccn/sn83025232/1918-11-11/ed-1/,1918-11-11,/lccn/sn83025232/1919-10-30/ed-1/,1919-10-30,/lccn/sn83025232/,right_only
3882,sn83025231,Wyoming,/newspapers/wyoming/,"The Wyoming tribune. [volume]Cheyenne, Wyo., 1869-1918",,/lccn/sn83025231/issues/,199.0,/lccn/sn83025231/1888-05-10/ed-1/,1888-05-10,/lccn/sn83025231/1910-11-02/ed-1/,1910-11-02,/lccn/sn83025231/,right_only
3883,sn92067047,Wyoming,/newspapers/wyoming/,"Wyoming weekly Republican.Sundance, Crook County, Wyo., 1889-1892",,/lccn/sn92067047/issues/,113.0,/lccn/sn92067047/1889-12-04/ed-1/,1889-12-04,/lccn/sn92067047/1892-06-08/ed-1/,1892-06-08,/lccn/sn92067047/,right_only
